"","animal","Common_Name","Family_Common","selector_caption"
"75","Larus_crassirostris","Black-tailed Gull","Laridae (Gulls, Terns & Skimmers)","Larus crassirostris (black-tailed gull)"
"76","Larus_delawarensis","Ring-billed Gull","Laridae (Gulls, Terns & Skimmers)","Larus delawarensis (ring-billed gull)"
"77","Larus_dominicanus","Kelp Gull","Laridae (Gulls, Terns & Skimmers)","Larus dominicanus (kelp gull)"
"78","Larus_fuliginosus","Lava Gull","Laridae (Gulls, Terns & Skimmers)","Larus fuliginosus (lava gull)"
"79","Larus_fuscus","Lesser Black-backed Gull","Laridae (Gulls, Terns & Skimmers)","Larus fuscus (lesser black-backed gull)"
"80","Larus_genei","Slender-billed Gull","Laridae (Gulls, Terns & Skimmers)","Larus genei (slender-billed gull)"
"81","Larus_glaucescens","Glaucous-winged Gull","Laridae (Gulls, Terns & Skimmers)","Larus glaucescens (glaucous-winged gull)"
"82","Larus_glaucoides","Iceland Gull","Laridae (Gulls, Terns & Skimmers)","Larus glaucoides (Iceland gull)"
"83","Larus_hartlaubii","Hartlaub's Gull","Laridae (Gulls, Terns & Skimmers)","Larus hartlaubii (Hartlaub's gull)"
"84","Larus_heermanni","Heermann's Gull","Laridae (Gulls, Terns & Skimmers)","Larus heermanni (Heermann's gull)"
"85","Larus_hemprichii","Sooty Gull","Laridae (Gulls, Terns & Skimmers)","Larus hemprichii (sooty gull)"
"86","Larus_hyperboreus","Glaucous Gull","Laridae (Gulls, Terns & Skimmers)","Larus hyperboreus (glaucous gull)"
"87","Larus_ichthyaetus","Pallas's Gull","Laridae (Gulls, Terns & Skimmers)","Larus ichthyaetus (Pallas's gull)"
"88","Larus_leucophthalmus","White-eyed Gull","Laridae (Gulls, Terns & Skimmers)","Larus leucophthalmus (white-eyed gull)"
"89","Larus_livens","Yellow-footed Gull","Laridae (Gulls, Terns & Skimmers)","Larus livens (yellow-footed gull)"
"90","Larus_maculipennis","Brown-hooded Gull","Laridae (Gulls, Terns & Skimmers)","Larus maculipennis (brown-hooded gull)"
"91","Larus_marinus","Greater Black-backed Gull","Laridae (Gulls, Terns & Skimmers)","Larus marinus (greater black-backed gull)"
"92","Larus_melanocephalus","Mediterranean Gull","Laridae (Gulls, Terns & Skimmers)","Larus melanocephalus (Mediterranean gull)"
"93","Larus_michahellis","Yellow-legged Gull","Laridae (Gulls, Terns & Skimmers)","Larus michahellis (yellow-legged gull)"
"94","Larus_minutus","Little Gull","Laridae (Gulls, Terns & Skimmers)","Larus minutus (little gull)"
"95","Larus_modestus","Gray Gull","Laridae (Gulls, Terns & Skimmers)","Larus modestus (gray gull)"
"96","Larus_novaehollandiae","Silver Gull","Laridae (Gulls, Terns & Skimmers)","Larus novaehollandiae (silver gull)"
"97","Larus_occidentalis","Western Gull","Laridae (Gulls, Terns & Skimmers)","Larus occidentalis (western gull)"
"98","Larus_pacificus","Pacific Gull","Laridae (Gulls, Terns & Skimmers)","Larus pacificus (Pacific gull)"
"99","Larus_philadelphia","Bonaparte's Gull","Laridae (Gulls, Terns & Skimmers)","Larus philadelphia (Bonaparte's gull)"
"100","Larus_pipixcan","Franklin's Gull","Laridae (Gulls, Terns & Skimmers)","Larus pipixcan (Franklin's gull)"
"101","Larus_ridibundus","Common Black-headed Gull","Laridae (Gulls, Terns & Skimmers)","Larus ridibundus (common black-headed gull)"
"102","Larus_saundersi","Saunders's gull","Laridae (Gulls, Terns & Skimmers)","Larus saundersi (Saunders's gull)"
"103","Larus_schistisagus","Slaty-backed Gull","Laridae (Gulls, Terns & Skimmers)","Larus schistisagus (slaty-backed gull)"
"104","Larus_scopulinus","Red-billed Gull","Laridae (Gulls, Terns & Skimmers)","Larus scopulinus (red-billed gull)"
"105","Larus_thayeri","Thayer's Gull","Laridae (Gulls, Terns & Skimmers)","Larus thayeri (Thayer's gull)"
"106","Leucophaeus_scoresbii","Dolphin Gull","Laridae (Gulls, Terns & Skimmers)","Leucophaeus scoresbii (dolphin gull)"
"107","Lugensa_brevirostris","Kerguelen petrel","Procellariidae (Petrels, Prions & Shearwaters)","Lugensa brevirostris (Kerguelen petrel)"
"108","Macronectes_giganteus","Southern Giant Petrel","Procellariidae (Petrels, Prions & Shearwaters)","Macronectes giganteus (southern giant petrel)"
